year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,BC,General,178.0
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,BCM,General,177.0
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,MBC,General,181.5
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,SC,General,161.5
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,SCA,General,169.5
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,ST,General,144.0
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,OC,General,187.0
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,BC,General,181.5
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,BCM,General,171.5
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,MBC,General,181.5
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,SC,General,170.5
2022,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,SCA,General,141.0
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,OC,General,174.5
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,BC,General,163.0
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,BCM,General,166.0
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,MBC,General,171.5
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,SC,General,150.0
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,SCA,General,128.0
2023,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,ST,General,166.87
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,OC,General,180.9
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,BC,General,173.0
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,BCM,General,163.0
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,MBC,General,170.5
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,SC,General,148.0
2022,Government College of Engineering Dharmapuri,GCE Dharmapuri,Government,Dharmapuri,Computer Science and Engineering,SCA,General,133.5
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,OC,General,175.0
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,BC,General,170.0
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,BCM,General,170.0
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,MBC,General,162.5
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,SC,General,153.0
2023,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,SCA,General,140.5
2022,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,OC,General,178.0
2022,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,BC,General,169.78
2022,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,BCM,General,158.5
2022,Government College of Engineering Thanjavur,GCE Thanjavur,Government,Thanjavur,Computer Science and Engineering,MBC,General,168.0
